registration_prefix,country
YA,Afghanistan
ZA,Albania
7T,Algeria
C3,Andorra
D2,Angola
VP-A,Anguilla
V2,Antigua and Barbuda
LV,Argentina
LQ,Argentina
EK,Armenia
P4,Aruba
VH,Australia
OE,Austria
4K,Azerbaijan
C6,Bahamas
A9C,Bahrain
S2,Bangladesh
8P,Barbados
EW,Belarus
OO,Belgium
V3,Belize
TY,Benin
VP-B,Bermuda
VQ-B,Bermuda
A5,Bhutan
CP,Bolivia
E7,Bosnia and Herzegovina
A2,Botswana
PP,Brazil
PT,Brazil
PR,Brazil
PU,Brazil
PS,Brazil
VP-L,British Virgin Islands
V8,Brunei
LZ,Bulgaria
XT,Burkina Faso
9U,Burundi
XU,Cambodia
TJ,Cameroon
C,Canada
D4,Cape Verde
VP-C,Cayman Islands
VQ-C,Cayman Islands
TL,Central African Republic
TT,Chad
CC,Chile
B,China
HK,Colombia
HJ,Colombia
D6,Comoros
TN,Republic of Congo
9S,Democratic Republic of Congo
9T,Democratic Republic of Congo
E5,Cook Islands
TI,Costa Rica
9A,Croatia
CU,Cuba
5B,Cyprus
OK,Czech Republic
OY,Denmark
J2,Djibouti
J7,Dominica
HI,Dominican Republic
HC,Ecuador
SU,Egypt
YS,El Salvador
3C,Equatorial Guinea
E3,Eritrea
ES,Estonia
3DC,Eswatini
ET,Ethiopia
DQ,Fiji
OH,Finland
F,France
TR,Gabon
C5,Gambia
4L,Georgia
D,Germany
9G,Ghana
9GR,Ghana
VP-G,Gibraltar
SX,Greece
OY-G,Greenland
J3,Grenada
F-O,Guadeloupe
N,Guam
TG,Guatemala
2,Guernsey
3X,Guinea
J5,Guinea-Bissau
8R,Guyana
HH,Haiti
HR,Honduras
B-H,Hong Kong
B-K,Hong Kong
B-L,Hong Kong
HA,Hungary
TF,Iceland
VT,India
PK,Indonesia
EP,Iran
YI,Iraq
EI,Ireland
EJ,Ireland
4X,Israel
4Z,Israel
I,Italy
TU,Ivory Coast
6Y,Jamaica
JA,Japan
JR,Japan
JY,Jordan
UP,Kazakhstan
5Y,Kenya
T3,Kiribati
Z6,Kosovo
9K,Kuwait
EX,Kyrgyzstan
RDPL,Laos
YL,Latvia
OD,Lebanon
7P,Lesotho
A8,Liberia
5A,Libya
HB,Liechtenstein
LY,Lithuania
LX,Luxembourg
B-M,Macau
5R,Madagascar
7Q,Malawi
9M,Malaysia
8Q,Maldives
TZ,Mali
9H,Malta
V7,Marshall Islands
F-O,Martinique
5T,Mauritania
3B,Mauritius
XA,Mexico
XB,Mexico
XC,Mexico
V6,Micronesia
ER,Moldova
3A,Monaco
JU,Mongolia
4O,Montenegro
VP-M,Montserrat
CN,Morocco
C9,Mozambique
XY,Myanmar
XZ,Myanmar
V5,Namibia
C2,Nauru
9N,Nepal
PH,Netherlands
ZK,New Zealand
YN,Nicaragua
5U,Niger
5N,Nigeria
P,North Korea
Z3,North Macedonia
LN,Norway
A4O,Oman
AP,Pakistan
N,Palau
HP,Panama
P2,Papua New Guinea
ZP,Paraguay
OB,Peru
RP,Philippines
SP,Poland
CS,Portugal
CR,Portugal
A7,Qatar
YR,Romania
RA,Russia
9XR,Rwanda
V4,Saint Kitts and Nevis
J6,Saint Lucia
J8,Saint Vincent and the Grenadines
5W,Samoa
T7,San Marino
S9,S?o Tom? and Pr?ncipe
HZ,Saudi Arabia
6V,Senegal
6W,Senegal
YU,Serbia
S7,Seychelles
9L,Sierra Leone
9V,Singapore
OM,Slovakia
S5,Slovenia
H4,Solomon Islands
6O,Somalia
ZS,South Africa
ZT,South Africa
ZU,South Africa
HL,South Korea
Z8,South Sudan
EC,Spain
4R,Sri Lanka
ST,Sudan
PZ,Suriname
SE,Sweden
HB,Switzerland
YK,Syria
B,Taiwan
EY,Tajikistan
5H,Tanzania
HS,Thailand
5V,Togo
A3,Tonga
9Y,Trinidad and Tobago
TS,Tunisia
TC,Turkey
EZ,Turkmenistan
T2,Tuvalu
5X,Uganda
UR,Ukraine
A6,United Arab Emirates
G,United Kingdom
N,United States
CX,Uruguay
UK,Uzbekistan
YJ,Vanuatu
HV,Vatican City
YV,Venezuela
VN,Vietnam
7O,Yemen
9J,Zambia
Z,Zimbabwe
